method,measurement,n_subjects,n_exact,mean_abs_error,median_abs_error,max_abs_error,rmse,bias,mean_abs_pct_error,max_abs_pct_error,pct_exact
avatar,trunk_length_corrected_cm,20.0,14.0,0.856132060374696,0.0,4.824650470663165,1.6469828345909223,-0.856132060374696,1.3900726634663696,8.213221512253977,70.0
avatar,trunk_length_cm,20.0,14.0,0.8564111923890543,0.0,4.824772127580189,1.647287958165976,0.8564111923890543,1.1932522480038035,5.716114895217925,70.0
avatar,inseam_left_cm,20.0,14.0,0.8567174151776392,0.0,4.8248604120761485,1.647654214911113,0.8567174151776392,1.134075480462858,5.763445567879303,70.0
avatar,inseam_right_cm,20.0,14.0,0.8567174151776392,0.0,4.8248604120761485,1.647654214911113,0.8567174151776392,1.134075480462858,5.763445567879303,70.0
avatar,surface_area_torso_cm2,20.0,14.0,67.78602233677157,2.2737367544323206e-12,320.4223646734936,133.5948039418548,-67.7860223367702,1.0486251865660612,6.117837892157869,70.0
avatar,calf_circumference_left_cm,20.0,1.0,0.3670803968074068,0.010530681066136083,2.7608651949068985,0.8304367346045202,0.08000929947956201,0.9629011708456007,6.639237526941727,5.0
avatar,surface_area_leg_right_cm2,20.0,14.0,38.348575661690326,1.5916157281026244e-12,175.82998557170322,75.53803591888186,38.34857566168946,0.9591998506677196,4.447454658094212,70.0
avatar,surface_area_leg_left_cm2,20.0,14.0,37.715520603322645,1.5916157281026244e-12,175.2521676085271,72.10027439680493,37.71552060332201,0.9417428147256827,4.507712411992086,70.0
avatar,forearm_circumference_right_cm,20.0,3.0,0.23460477316538983,0.032798218342437124,0.8384522475564253,0.3809139418128215,-0.12021712370545914,0.8773083658445083,3.16065899801311,15.0
avatar,outside_leg_length_left_cm,20.0,14.0,0.4690532527972202,1.4210854715202004e-14,2.0192513723261385,0.8956649296421474,0.40453736019086006,0.5593371604742945,2.6352944300608474,70.0
avatar,outside_leg_length_right_cm,20.0,14.0,0.46905329433018467,2.842170943040401e-14,2.0192513723261385,0.8956650181851139,0.4045374185303331,0.5593107205696107,2.6349373023913873,70.0
avatar,thigh_circumference_right_cm,20.0,11.0,0.34500883681124817,1.4210854715202004e-14,2.128647261574166,0.7230962885208888,0.3206788633317991,0.5557175034395896,3.7179472516261525,55.0
avatar,forearm_circumference_left_cm,20.0,2.0,0.13363701776928963,0.007435146080524646,1.2612137515475936,0.32154281139561974,-0.03088073099335233,0.5258411064704582,4.900961269894053,10.0
avatar,thigh_circumference_left_cm,20.0,13.0,0.2892702305704201,1.4210854715202004e-14,1.7058077621117889,0.6017071570050462,0.26418669420648333,0.4629133066185848,3.0620618374969135,65.0
avatar,hip_circumference_cm,20.0,14.0,0.3592490795102961,2.842170943040401e-14,2.463029214404145,0.7566546470981286,-0.11294615806987167,0.3068527741954551,1.9292235270787494,70.0
avatar,arm_length_right_cm,20.0,2.0,0.1363134569082819,0.09635078123596585,0.3572779281794567,0.17937736607685476,0.04233266128578371,0.3016131134824297,0.8237773347387656,10.0
avatar,waist_circumference_cm,20.0,14.0,0.2646858749965233,1.4210854715202004e-14,3.275915007528127,0.8036975301930795,-0.10228530272602683,0.2885851104232068,3.929687157784143,70.0
avatar,bicep_circumference_right_cm,20.0,3.0,0.11765628282720601,0.009542152544515403,1.1009443755578516,0.3162678393428071,-0.08561160934942305,0.28815467665295047,2.651537813980551,15.0
avatar,arm_length_left_cm,20.0,2.0,0.09897127472788006,0.04954012743471381,0.34403720266745097,0.1485586216007619,-0.03316280117683013,0.23140915734038897,0.6969352435756843,10.0
avatar,ankle_circumference_left_corrected_cm,20.0,14.0,0.05845718323587974,5.329070518200751e-15,0.47749603460469814,0.14051277003051402,0.010222854962911043,0.22122248341818668,1.6777272576639264,70.0
avatar,ankle_circumference_right_cm,20.0,14.0,0.05845718323587974,5.329070518200751e-15,0.47749603460469814,0.14051277003051402,0.010222854962911043,0.22122248341818668,1.6777272576639264,70.0
avatar,calf_circumference_right_cm,20.0,0.0,0.023869407367329676,0.007456052402698532,0.20916925189617075,0.05089547135262794,-0.002245817088832358,0.162638177184053,2.1498525097469856,0.0
avatar,ankle_circumference_left_cm,20.0,16.0,0.030888473092538327,0.0,0.36353864560015126,0.08878700002709165,-0.010214714765291965,0.10324267400491108,1.2078329009216033,80.0
avatar,ankle_circumference_right_corrected_cm,20.0,16.0,0.030888473092538327,0.0,0.36353864560015126,0.08878700002709165,-0.010214714765291965,0.10324267400491108,1.2078329009216033,80.0
avatar,bicep_circumference_left_cm,20.0,2.0,0.01588253250726706,0.004525329515129073,0.10906933528696072,0.03415927222139687,0.0011071488621473956,0.04440229163855759,0.2663245014957068,10.0
avatar,volume_cm3,20.0,18.0,1.6537424001224281,6.548361852765083e-11,32.37787199996819,7.24158950366213,-1.6537424000714964,0.002190286778253688,0.043054987386897774,90.0
avatar,surface_area_total_cm2,20.0,20.0,1.0459189070388675e-11,1.1823431123048067e-11,1.8189894035458565e-11,1.1795413474372963e-11,-1.7280399333685636e-12,5.450723555960078e-14,9.127487415633806e-14,100.0
avatar,surface_area_arm_left_cm2,20.0,20.0,3.637978807091713e-13,2.2737367544323206e-13,1.3642420526593924e-12,5.752149554916067e-13,4.5474735088646414e-14,1.9791718652125395e-14,8.13281953947903e-14,100.0
avatar,surface_area_head_cm2,20.0,20.0,3.751665644813329e-13,0.0,1.5916157281026244e-12,6.164301208503257e-13,-2.3874235921539367e-13,1.8643725286285443e-14,8.533865220657261e-14,100.0
avatar,surface_area_arm_right_cm2,20.0,20.0,3.1832314562052486e-13,2.2737367544323206e-13,1.3642420526593924e-12,4.714920886119153e-13,1.1368683772161603e-13,1.637509905674604e-14,6.270561660357086e-14,100.0
avatar,chest_circumference_cm,20.0,20.0,1.7053025658242404e-14,1.4210854715202004e-14,8.526512829121202e-14,2.6586074758753436e-14,-9.947598300641402e-15,1.624684422426956e-14,7.141955371178817e-14,100.0
avatar,wrist_circumference_left_cm,20.0,20.0,1.9539925233402757e-15,0.0,1.4210854715202004e-14,3.972054645195637e-15,-1.7763568394002506e-16,9.843039431058111e-15,6.537089829145263e-14,100.0
avatar,wrist_circumference_right_cm,20.0,20.0,1.1546319456101628e-15,0.0,7.105427357601002e-15,2.2817716744798718e-15,-8.881784197001253e-17,6.146535942718968e-15,4.256617855539519e-14,100.0
