method,measurement,n_subjects,n_exact,mean_abs_error,median_abs_error,max_abs_error,rmse,bias,mean_abs_pct_error,max_abs_pct_error,pct_exact
avatar,trunk_length_corrected_cm,20.0,19.0,0.08656850157785456,0.0,1.7313700315570912,0.38714610847676123,-0.08656850157785456,0.1736462687520738,3.472925375041476,95.0
avatar,trunk_length_cm,20.0,19.0,0.08684162881671327,0.0,1.7368325763342511,0.38836757062194777,0.08684162881671327,0.12189657736137072,2.437931547227392,95.0
avatar,inseam_left_cm,20.0,19.0,0.08707495155457963,0.0,1.7414990310915925,0.3894110216270821,0.08707495155457963,0.11388078007622146,2.2776156015244293,95.0
avatar,inseam_right_cm,20.0,19.0,0.08707495155457963,0.0,1.7414990310915925,0.3894110216270821,0.08707495155457963,0.11388078007622146,2.2776156015244293,95.0
avatar,calf_circumference_left_cm,20.0,19.0,0.0422613718932876,7.105427357601002e-15,0.8452274378656313,0.18899860075155311,0.04226137189327765,0.11312833172068522,2.262566634413407,95.0
avatar,surface_area_leg_left_cm2,20.0,19.0,3.675961895517048,9.094947017729282e-13,73.51923791031777,16.439401362145013,3.6759618955160476,0.08993612962447421,1.798722592488872,95.0
avatar,surface_area_torso_cm2,20.0,19.0,6.104767661153483,1.8189894035458565e-12,122.09535322303873,27.301350954356266,-6.104767661152119,0.08638313109502585,1.7276626219000422,95.0
avatar,thigh_circumference_right_cm,20.0,19.0,0.04579721829021466,0.0,0.9159443658042008,0.20481138655461267,0.04579721829020826,0.0795217245717221,1.5904344914342885,95.0
avatar,outside_leg_length_right_cm,20.0,19.0,0.06304972292340735,0.0,1.2609944584679482,0.28196693283848673,0.06304972292340168,0.07312901461326803,1.4625802922651352,95.0
avatar,outside_leg_length_left_cm,20.0,19.0,0.06304972333633288,0.0,1.2609944667265296,0.2819669346851617,0.0630497233363286,0.0731205343597241,1.4624106871943348,95.0
avatar,surface_area_leg_right_cm2,20.0,19.0,2.57651109954993,1.3642420526593924e-12,51.530221990977225,11.522507926747963,2.5765110995488385,0.06332996221465857,1.2665992442926288,95.0
avatar,hip_circumference_cm,20.0,19.0,0.06330642581803544,0.0,1.2661285163604816,0.28311494308329915,-0.06330642581802834,0.054101030291774876,1.0820206058352901,95.0
avatar,ankle_circumference_left_corrected_cm,20.0,19.0,0.0025260258621838004,1.7763568394002505e-15,0.050520517243615615,0.011296731081517481,0.00252602586218309,0.010783999006622878,0.21567998013222295,95.0
avatar,ankle_circumference_right_cm,20.0,19.0,0.0025260258621838004,1.7763568394002505e-15,0.050520517243615615,0.011296731081517481,0.00252602586218309,0.010783999006622878,0.21567998013222295,95.0
avatar,ankle_circumference_left_cm,20.0,19.0,0.002374661648907761,0.0,0.047493232978137456,0.010619809741035014,-0.002374661648907406,0.009184930790567631,0.1836986158112846,95.0
