method,n_comparisons,n_measurements,n_subjects,n_exact,mean_abs_error,median_abs_error,max_abs_error,mean_abs_pct_error,median_abs_pct_error,pct_exact
avatar,720,36,20,701,0.36110814024517246,0.0,122.09535322303873,0.03352557042908107,0.0,97.36111111111111
segmentation,760,38,20,61,904.5958669958767,4.423144183389084,39104.51297062685,22.542640252056174,7.027040184356525,8.026315789473685
slice,640,32,20,5,949.7929432538156,57.40699855085059,27603.241934196172,67.26650893955402,25.34204184075528,0.78125
