name,value,units
height,0.1076781,cm
chestGirth,0.059931242239674526,cm
waistGirth,0.05198634751454389,cm
hipGirth,0.05925296343157993,cm
rThighGirth,0.03322053821696804,cm
lThighGirth,0.03463085915403002,cm
rCalfGirth,0.024111378160290922,cm
lCalfGirth,0.023827736019744597,cm
rAnkleGirth,0.017322765484193727,cm
lAnkleGirth,0.017308317316430146,cm
rBicepGirth,0.017977031764319255,cm
lBicepGirth,0.017739988177424993,cm
rForearmGirth,0.016931232997245485,cm
lForearmGirth,0.016142534849611995,cm
rWristGirth,0.012736739481462582,cm
lWristGirth,0.012531745603203186,cm
rArmLength,0.027983647728992447,cm
lArmLength,0.02531540822706554,cm
rLegLength,0.052893391178145004,cm
lLegLength,0.05306159157148306,cm
trunkLength,0.048093863934181864,cm
crotchHeight,0.04780818742888189,cm
collarScalpLength,0.10796360836394132,cm
SA_total,0.00723217941705614,cm^2
SA_head,0.0009620562301256553,cm^2
SA_trunk,0.0021826197379813017,cm^2
SA_rArm,0.0007260847620189474,cm^2
SA_lArm,0.0006340636027151031,cm^2
SA_rleg,0.0014715828073201818,cm^2
SA_lleg,0.001448075433117638,cm^2
VOL_total,1.771736716677185e-05,cm^3
VOL_head,0.03838314939501061,cm^3
VOL_trunk,-0.038372541997984094,cm^3
VOL_rArm,8.550939857627783e-07,cm^3
VOL_lArm,7.117240214142841e-07,cm^3
VOL_rleg,2.756421250121688e-06,cm^3
VOL_lleg,2.786730882959559e-06,cm^3
rAnkleGirth_fixed,0.017308317316430146,cm
lAnkleGirth_fixed,0.017322765484193727,cm
trunkLength_fixed,0.03986314789067054,cm
collarScalpLength_fixed,0.020069981609607924,cm
