file,landmark,x,y,z
penn-mesh-2.obj,l_wrist,36.25714286,-1.621904762,96.13047619
penn-mesh-2.obj,r_armpit,-16.52580135,nan,118.8032297
penn-mesh-2.obj,l_armpit,22.02844944,nan,109.1679657
penn-mesh-2.obj,r_hip,-17.22,4.24,87.84121739
penn-mesh-2.obj,l_hip,21.04,7.25,87.84121739
penn-mesh-2.obj,r_foot,-13.95,11.76,-7.200923179e-16
penn-mesh-2.obj,l_foot,16.1,11.76,-7.200923179e-16
penn-mesh-2.obj,crotch,2.9,6.5,76.04841204
penn-mesh-2.obj,l_ankle,14.63434783,7.09173913,13.89913043
penn-mesh-2.obj,r_ankle,-12.54703704,6.117037037,13.10518519
penn-mesh-2.obj,lShoulder,22.11,13.26,148.85
penn-mesh-2.obj,rShoulder,-16.95,11.76,148.61
penn-mesh-2.obj,collar,2.58,12.51,148.73
penn-mesh-2.obj,lowerBack,2.89,19.88,88.37
penn-mesh-2.obj,nose_tip,0.32,-4.31,157.41
