file,landmark,x,y,z
A00-09-0254 2025-12-10_10-38-56.obj,collar,5.695,5.395,126.015
A00-09-0254 2025-12-10_10-38-56.obj,lowerBack,0.21,19.55,87.24
A00-09-0254 2025-12-10_10-38-56.obj,nose_tip,0.34,-9.28,158.08
A00-09-2104_A 2025-11-19_11-49-31.obj,r_wrist,-33.14133333,-5.190666667,86.792
A00-09-2104_A 2025-11-19_11-49-31.obj,l_wrist,29.50333333,-3.061666667,84.98055556
A00-09-2104_A 2025-11-19_11-49-31.obj,r_armpit,-19.04230003,nan,112.6674477
A00-09-2104_A 2025-11-19_11-49-31.obj,l_armpit,16.95994095,nan,112.6341871
A00-09-2104_A 2025-11-19_11-49-31.obj,r_hip,-21.7,5.24,86.47238095
A00-09-2104_A 2025-11-19_11-49-31.obj,l_hip,17.28,4.83,86.47238095
A00-09-2104_A 2025-11-19_11-49-31.obj,r_foot,-19.13,11.79,-7.219292881e-16
A00-09-2104_A 2025-11-19_11-49-31.obj,l_foot,9.82,12.29,-7.525454581e-16
A00-09-2104_A 2025-11-19_11-49-31.obj,crotch,-2.06,5.11,80.0697433
A00-09-2104_A 2025-11-19_11-49-31.obj,l_ankle,10.943,7.8405,11.5515
A00-09-2104_A 2025-11-19_11-49-31.obj,r_ankle,-17.79318182,6.207727273,16.42363636
A00-09-2104_A 2025-11-19_11-49-31.obj,lShoulder,17.05,2.23,136.4
A00-09-2104_A 2025-11-19_11-49-31.obj,rShoulder,-19.29,-1.2,136.1
A00-09-2104_A 2025-11-19_11-49-31.obj,collar,-1.12,0.515,136.25
A00-09-2104_A 2025-11-19_11-49-31.obj,lowerBack,-2.22,21.5,88.4
A00-09-2104_A 2025-11-19_11-49-31.obj,nose_tip,-0.4,-15.33,150.46
A00-09-2104_B 2025-11-19_11-54-21.obj,r_wrist,-33.96,-0.5821428571,87.85642857
A00-09-2104_B 2025-11-19_11-54-21.obj,l_wrist,28.272,0.1733333333,86.29266667
A00-09-2104_B 2025-11-19_11-54-21.obj,r_armpit,-18.33048441,nan,113.462727
A00-09-2104_B 2025-11-19_11-54-21.obj,l_armpit,17.48825431,nan,111.905751
A00-09-2104_B 2025-11-19_11-54-21.obj,r_hip,-21.13,5.65,86.36737864
A00-09-2104_B 2025-11-19_11-54-21.obj,l_hip,18,9.41,86.36737864
A00-09-2104_B 2025-11-19_11-54-21.obj,r_foot,-24.66,-3.14,-0.03
A00-09-2104_B 2025-11-19_11-54-21.obj,l_foot,16.5,7.52,-0.02
A00-09-2104_B 2025-11-19_11-54-21.obj,crotch,-1.36,6.39,77.04888183
A00-09-2104_B 2025-11-19_11-54-21.obj,l_ankle,10.41565217,7.57173913,12.18652174
A00-09-2104_B 2025-11-19_11-54-21.obj,r_ankle,-14.8524,7.6376,10.86
A00-09-2104_B 2025-11-19_11-54-21.obj,lShoulder,17.62,5.87,136.18
A00-09-2104_B 2025-11-19_11-54-21.obj,rShoulder,-19.22,1.54,135.71
