file,n_vertices,n_faces,units,warnings,height,chestGirth,waistGirth,hipGirth,rThighGirth,lThighGirth,rCalfGirth,lCalfGirth,rAnkleGirth,lAnkleGirth,rBicepGirth,lBicepGirth,rForearmGirth,lForearmGirth,rWristGirth,lWristGirth,rArmLength,lArmLength,rLegLength,lLegLength,trunkLength,crotchHeight,collarScalpLength,SA_total,SA_head,SA_trunk,SA_rArm,SA_lArm,SA_rleg,SA_lleg,SA_legs,VOL_total,rAnkleGirth_fixed,lAnkleGirth_fixed,trunkLength_fixed,collarScalpLength_fixed,seg_left_arm,seg_right_arm,seg_legs,seg_head,seg_trunk,seg_left_leg,seg_right_leg
CanCan02_A 2025-11-13_11-42-08.obj,5002,10000,cm,,173.63,93.50553118,82.87026366,97.12150809,56.96907879,57.13042395,40.72177348,40.90055307,23.9031506,26.90529655,33.87643469,33.10002985,27.49556379,24.58650043,20.44620633,19.73527039,47.94220062,51.34357624,87.79072924,87.78072972,66.97284157,75.92963417,164.6600027,18700.82265,1964.068244,5302.685881,2135.2634,2069.379578,4022.942507,3983.408301,7993.108601,72939.26625,26.90529655,23.9031506,66.25871561,31.45501431,710,691,1932,547,1122,964,968
CanCan02_B 2025-11-13_11-50-16.obj,5002,10000,cm,,173.03,95.11725459,81.84143869,99.06717261,55.08413981,52.99598814,40.84298168,41.58407021,24.73806359,26.7067292,28.37827098,30.7122286,18.2601628,21.80821315,16.69265976,13.56069727,65.3623095,46.79254376,84.20327969,84.16331349,59.72081177,75.67009976,157.0472198,18067.16294,1932.308979,5650.607765,1858.418541,1677.452753,3868.349515,3754.558788,7602.662496,68084.46484,26.7067292,24.73806359,65.8872682,31.51606336,584,575,1844,674,1324,902,942
CanCan08_A 2026-02-04_12-13-30.obj,4995,9988,cm,,183.97,106.9874717,98.72099215,109.6004162,62.51749947,62.72116864,42.66406746,42.50743652,26.26541276,29.03660763,36.60566504,37.78112208,28.40118014,31.84069689,16.38612752,22.29027628,53.54648621,47.34241884,93.85448177,93.87448155,74.77556538,82.43954833,176.3090838,21322.48877,2236.03603,6590.351349,1905.736654,2238.699397,4658.102446,4601.143336,9224.475974,95322.40184,29.03660763,26.26541276,69.60654425,31.9475449,671,527,1992,599,1206,975,1017
CanCan08_B 2026-02-04_12-21-25.obj,4999,9982,cm,,183.37,106.4422647,98.27414918,108.1462898,62.77158033,64.04158429,42.91011063,42.03191183,25.92966274,29.81006538,34.53100316,34.3572194,30.75835942,29.24147735,10.2683065,21.60662127,44.28526125,48.90497502,95.23258808,95.21260478,71.29117959,82.18581559,172.470799,21019.23196,2267.854896,6442.949546,1756.191666,2004.959123,4656.31559,4808.948175,9438.20107,92837.5217,29.81006538,25.92966274,69.22000824,32.03818503,548,536,2069,613,1232,1055,1014
CanCan10_A 2026-02-27_09-49-56.obj,4997,9990,cm,,180.57,119.3862519,112.1653299,116.0723666,67.16165235,66.16953869,44.31185502,41.75320596,25.00923419,29.10149928,40.24155257,40.20706031,34.66418085,31.51134035,26.1312396,21.53704463,45.82962214,47.13426525,88.19134998,88.17137478,68.20698968,74.54275538,174.2718718,22207.36954,2567.547224,7679.936834,2156.248574,2081.5741,4299.725028,4306.623488,8589.544243,112000.8238,29.10149928,25.00923419,73.17619136,33.07632726,549,557,1867,664,1360,920,947
CanCan10_B 2026-02-27_09-55-20.obj,5002,10000,cm,,181.19,121.8687259,113.2662842,116.7858571,67.49636958,65.93975978,45.25453283,42.59666942,25.80090021,29.49456649,39.61488995,39.09068574,34.08780341,31.76305652,25.27138248,21.73880899,47.94925814,46.81815362,88.41283745,88.38285462,61.3784665,74.63230035,167.9343592,22659.70333,2751.609874,7643.752974,2298.716287,2113.666577,4478.923875,4323.624208,8783.539878,114325.536,29.49456649,25.80090021,72.49292035,34.09147987,530,574,1840,703,1355,916,924
cancan07_A 2026-01-28_11-48-32.obj,5002,10000,cm,,178.07,91.32220839,91.2203485,107.5599195,59.45725791,61.50510662,42.63625989,42.34980567,25.87683361,25.46559291,32.29708798,31.78809668,28.41819722,24.46493445,18.11500399,19.13125365,50.84808572,53.7759702,86.84066596,86.84066596,71.4923698,73.67182149,175.9280754,19171.80668,2142.862419,5972.478481,1999.45177,1961.25879,3820.873498,3982.012222,7768.769754,80302.73633,25.46559291,25.87683361,69.59374178,34.99690879,622,618,1830,676,1255,936,894
cancan07_B 2026-01-28_11-50-04.obj,4995,9986,cm,,177.61,93.98972403,91.46093945,107.5899904,61.01001916,60.7630039,42.58987698,42.57283737,25.62075757,26.48672048,33.58262196,32.36419853,29.69888002,29.43043917,18.58773028,19.0558926,48.71545045,49.36429975,86.95128251,86.95128251,71.96664462,73.73020627,175.8855157,19394.59993,2161.123141,6011.557145,2034.416895,1980.297775,3929.91035,4053.72595,7972.327486,81047.80404,26.48672048,25.62075757,69.83627597,34.25365163,619,615,1824,661,1276,899,925
man.obj,24461,48918,cm,,2.07407,1.214856089,0.9020012984,1.080385273,0.6335519436,0.6333746463,0.4832139868,0.4834272039,0.261013712,0.2604385348,0.4718096842,0.4709553756,0.3580109045,0.363201363,0.218255911,0.2178723702,0.5577603873,0.5567199637,1.078902459,1.078902459,0.9066165643,0.98113,1.99955,2.671784787,0.253351962,0.7274387086,0.3052730181,0.3049166978,0.5596801078,0.5611451222,1.120761463,0.1200789478,0.2604385348,0.261013712,0.7442179967,0.34873,3355,3359,10184,2309,5254,5102,5082
penn-mesh-1.obj,6890,13776,cm,,0.1076781,0.05993124224,0.05198634751,0.05925296343,0.03322053822,0.03463085915,0.02411137816,0.02382773602,0.01732276548,0.01730831732,0.01797703176,0.01773998818,0.016931233,0.01614253485,0.01273673948,0.0125317456,0.02798364773,0.02531540823,0.05289339118,0.05306159157,0.04809386393,0.04780818743,0.1079636084,0.007232179417,0.0009620562301,0.002182619738,0.000726084762,0.0006340636027,0.001471582807,0.001448075433,0.002906847501,1.771736717e-05,0.01730831732,0.01732276548,0.03986314789,0.02006998161,1237,1328,1410,1338,1577,679,731
penn-mesh-2.obj,24971,49938,cm,,175.88,117.6136667,113.4694783,107.5577492,57.24919285,56.05094921,38.67697506,37.0016159,23.14450759,24.08367825,40.65406142,33.03691721,33.13033281,30.50760837,23.50082794,22.96453467,44.14709349,35.80912206,87.84779507,87.84779507,63.53921784,76.04841204,163.4130331,20145.17286,1865.058431,7397.438253,2175.629755,1736.280243,3744.859517,3632.644794,7354.521322,98838.41475,24.08367825,23.14450759,72.6822924,27.40775438,2399,3036,8686,2567,8283,4293,4393
