source_file,slice_index,z,height_percent,num_loops,max_perimeter,sum_perimeter,max_area,sum_area,width,depth,left_max_perimeter,right_max_perimeter,left_sum_area,right_sum_area
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan01_A 2025-10-27_11-10-43.obj,0,15.76069690314221,1.0,2,542.3919669347032,1076.2179609663233,16782.049136685644,33493.73632521185,447.41321581982345,218.59903275057502,533.8259940316201,542.3919669347032,16711.687188526208,16782.049136685644
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan01_A 2025-10-27_11-10-43.obj,1,23.52224613182531,1.492462311557789,2,512.1993182148045,1014.5031444943539,15376.570498191984,30704.13617220262,438.68158876285196,205.63498397422873,502.3038262795494,512.1993182148045,15327.565674010635,15376.570498191984
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan01_A 2025-10-27_11-10-43.obj,2,31.283795360508407,1.984924623115578,2,477.312310789615,943.8224753002257,13714.496641492326,27232.799727191006,426.0051968837395,193.29909102905407,466.51016451061065,477.312310789615,13518.30308569868,13714.496641492326
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan01_A 2025-10-27_11-10-43.obj,3,39.04534458919151,2.4773869346733672,2,438.97581322935,863.3006482697613,11911.882853213669,23345.466683524348,413.1245803948914,181.10962038449054,424.32483504041124,438.97581322935,11433.58383031068,11911.882853213669
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan01_A 2025-10-27_11-10-43.obj,4,46.8068938178746,2.9698492462311563,2,398.5943934067033,775.2513001111288,10078.423603872845,19349.486310643282,404.9104878934936,165.0293027662604,376.6569067044254,398.5943934067033,9271.062706770437,10078.423603872845
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan01_A 2025-10-27_11-10-43.obj,5,54.568443046557704,3.462311557788945,2,349.2655291815816,677.652647924745,8163.455850505961,15679.336809836244,396.4633470088504,140.62577050813752,328.38711874316346,349.2655291815816,7515.880959330283,8163.455850505961
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan01_A 2025-10-27_11-10-43.obj,6,62.329992275240805,3.954773869346734,2,311.22631286000694,613.9405889984814,6836.553157924449,13442.035186098838,394.6021929952734,119.27836744410723,302.71427613847453,311.22631286000694,6605.482028174389,6836.553157924449
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan01_A 2025-10-27_11-10-43.obj,7,70.09154150392389,4.447236180904523,2,290.5273351868706,577.8335829094491,6137.225037230659,12241.26312751694,392.58081223402576,109.69160561049182,287.3062477225785,290.5273351868706,6104.038090286282,6137.225037230659
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan01_A 2025-10-27_11-10-43.obj,8,77.853090732607,4.939698492462312,2,278.3173738488816,555.969110469264,5785.017261707144,11553.270810194059,389.2574612882985,103.24149796274625,278.3173738488816,277.6517366203825,5768.253548486915,5785.017261707144
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan01_A 2025-10-27_11-10-43.obj,9,85.6146399612901,5.4321608040201,2,273.8206372356332,544.0745537815744,5600.129289076976,11170.152253225468,385.9341103425712,99.3696534253097,273.8206372356332,270.25391654594125,5600.129289076976,5570.022964148491
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan01_A 2025-10-27_11-10-43.obj,10,93.37618918997319,5.92462311557789,2,273.8361158663131,541.9940480250889,5639.716367402521,11142.709206208034,383.7718019003511,97.40348634911604,273.8361158663131,268.1579321587758,5639.716367402521,5502.992838805512
