source_file,slice_index,z,height_percent,num_loops,max_perimeter,sum_perimeter,max_area,sum_area,width,depth
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,0,17.363544625753942,0.9999999999999999,2,678.5552117250709,1316.3033365499405,25237.767627685513,48144.910354264175,532.2248229426198,284.39586027516407
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,1,25.91443594898955,1.4924623115577886,2,645.9147759675863,1243.433969896911,22863.45840938412,43089.66405858908,523.9372709696942,269.96154306544236
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,2,34.46532727222516,1.9849246231155775,2,582.2630560795171,1115.442994557589,19140.018679932975,35769.11370899328,506.16230542878645,244.3628625153642
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,3,43.01621859546077,2.4773869346733663,2,523.1763296693392,1001.5204392024225,15938.408215614156,29671.354872642787,483.977368097597,223.45518155592052
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,4,51.567109918696374,2.9698492462311554,2,467.4824070195611,900.4709886044732,12930.412428288364,24443.856939067504,464.2382794946548,204.73140753416985
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,5,60.11800124193199,3.4623115577889445,2,416.72025607543736,808.3820982066254,10577.667034213191,20296.697178776325,448.0947408818313,185.37345270919184
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,6,68.6688925651676,3.954773869346733,2,369.79493747036815,724.0407264539947,8695.197506987388,17010.797369020816,435.2521474051634,165.39175694754954
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,7,77.2197838884032,4.447236180904522,2,331.1650877179963,658.4101294464368,7405.727908904562,14729.67119684595,427.41903708244627,150.43458210130245
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,8,85.77067521163882,4.939698492462311,2,306.33116656993,608.769957270664,6764.105754339078,13019.172225014532,418.7279350854404,139.19513036701434
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,9,94.32156653487442,5.4321608040201,2,292.62680478608917,579.818257177375,6264.298427504138,11983.149967394704,414.3749231159109,132.85700866903267
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,10,102.87245785811004,5.92462311557789,2,280.7456234452632,557.2719947672704,5852.432995567455,11266.922422770265,414.21036549482824,127.38800750743341
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,11,111.42334918134564,6.417085427135677,2,276.7581438052348,541.2952450666174,5715.746434666689,10779.996063530976,410.78678939112467,124.56065413510456
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,12,119.97424050458125,6.909547738693466,2,275.6284313544218,533.8247301978126,5652.543874501149,10499.612714403396,408.54100576081396,123.14503902349281
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,13,128.52513182781686,7.402010050251255,2,269.04295758800214,523.2947887590676,5316.41388199725,10073.781464580345,404.2836358422161,120.39186237497196
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,14,137.07602315105245,7.894472361809043,2,256.22974612073875,502.80411946414205,4846.354308883805,9377.817701051914,402.2878865520993,116.39106657856274
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,15,145.62691447428807,8.386934673366833,2,255.2728861488469,491.9360802531964,4822.699623930035,9006.94578688118,401.4994579327644,114.41580522923579
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,16,154.1778057975237,8.879396984924622,2,260.228387627764,496.75183490384916,5087.865704401644,9193.638201690599,403.93180755030414,115.0330611882907
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,17,162.7286971207593,9.371859296482413,2,263.9230015405435,504.05162163299497,5311.708349264969,9589.64738965188,407.45474006475473,115.10839621722059
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,18,171.2795884439949,9.8643216080402,2,266.3212157616676,511.77511994800216,5436.092571274778,9964.986766932168,410.52452986503084,114.13308810181536
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,19,179.8304797672305,10.356783919597987,2,268.9229598017703,518.5245543978558,5566.958197022614,10300.16958239962,411.61524741384204,113.94813478651844
