source_file,slice_index,z,height_percent,num_loops,max_perimeter,sum_perimeter,max_area,sum_area,width,depth
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_A 2025-11-19_11-49-31.obj,0,16.53497301039236,1.0,2,663.9177946805179,1297.193012211338,23305.003431758887,39491.480382531576,445.4085434049241,311.7886198490654
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_A 2025-11-19_11-49-31.obj,1,24.677824040635834,1.4924623115577889,2,677.2652108409347,1319.7025520411935,26190.1436770699,47461.90416196681,445.056813924929,307.0389922077112
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_A 2025-11-19_11-49-31.obj,2,32.820675070879304,1.984924623115578,2,648.6281570274449,1248.994301051995,23350.536064280503,41531.37389377031,435.9373619781653,294.8570294394406
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_A 2025-11-19_11-49-31.obj,3,40.96352610112278,2.477386934673367,2,595.5346267015832,1116.1421638108231,19565.74006941264,34204.90893294753,423.53690939471795,255.55974000789985
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_A 2025-11-19_11-49-31.obj,4,49.10637713136626,2.9698492462311563,2,532.9987425446011,995.5697589932986,15895.345314755348,27935.691834238252,411.30701519017657,229.5114894055385
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_A 2025-11-19_11-49-31.obj,5,57.249228161609736,3.4623115577889454,2,476.23785222003283,887.0329032619359,12859.583931747606,23174.438963733126,402.37412370232573,203.3923708090777
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_A 2025-11-19_11-49-31.obj,6,65.3920791918532,3.9547738693467336,2,428.13125871264407,801.9921097061273,10397.258715981865,19779.249120011984,393.35236723116213,179.85333618378155
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_A 2025-11-19_11-49-31.obj,7,73.53493022209668,4.447236180904523,2,375.6129595572261,727.2615433259273,9006.113395828375,17276.24772507329,390.34868111409185,162.02052424392798
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_A 2025-11-19_11-49-31.obj,8,81.67778125234015,4.939698492462312,2,340.7961272765752,680.2449988678105,8667.851947559408,15715.554731631048,387.67512741081185,151.08602494977333
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_A 2025-11-19_11-49-31.obj,9,89.82063228258363,5.432160804020101,2,326.6982587576023,643.0491909282434,8025.894745668418,14406.701605803391,383.18362863687145,143.53632683179984
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_A 2025-11-19_11-49-31.obj,10,97.96348331282711,5.92462311557789,2,312.6223683544067,614.0689895824287,7292.162810663554,13307.148774239125,378.9979878938202,139.06331487679415
