source_file,slice_index,z,height_percent,num_loops,max_perimeter,sum_perimeter,max_area,sum_area,width,depth,left_max_perimeter,right_max_perimeter,left_sum_area,right_sum_area
data\obj\cancan07_A 2026-01-28_11-48-32.obj,0,17.837332210062065,1.0000000000000002,2,635.7636563891233,1236.7013606463624,23595.046353235826,44518.080405800996,469.38696057269306,261.65776229010464,600.9377042572391,635.7636563891233,20923.03405256517,23595.046353235826
data\obj\cancan07_A 2026-01-28_11-48-32.obj,1,26.621546062253437,1.4924623115577893,2,600.7076636835201,1141.1749387553077,20905.786331925337,38157.227071383204,448.38537864152045,249.39527137394714,540.4672750717878,600.7076636835201,17251.440739457867,20905.786331925337
data\obj\cancan07_A 2026-01-28_11-48-32.obj,2,35.4057599144448,1.9849246231155782,2,531.3243753993179,1019.5390690881597,16694.51783742242,30766.72835113844,422.3975278862302,218.6733265437431,488.2146936888418,531.3243753993179,14072.210513716022,16694.51783742242
data\obj\cancan07_A 2026-01-28_11-48-32.obj,3,44.18997376663617,2.4773869346733672,2,477.59175997628313,919.041470532323,13481.994158646026,25172.40790306826,396.43787948984607,197.3050505470232,441.4497105560399,477.59175997628313,11690.413744422232,13481.994158646026
data\obj\cancan07_A 2026-01-28_11-48-32.obj,4,52.97418761882754,2.9698492462311563,2,429.0862334196112,826.6577738322806,11097.806860842196,20908.29219571041,375.38426909459633,177.64496412672338,397.5715404126694,429.0862334196112,9810.485334868215,11097.806860842196
data\obj\cancan07_A 2026-01-28_11-48-32.obj,5,61.758401471018914,3.4623115577889454,2,385.03555912730445,741.7911582652871,9262.189872641524,17511.03437327135,359.5325330255623,158.94332715962864,356.7555991379827,385.03555912730445,8248.844500629828,9262.189872641524
data\obj\cancan07_A 2026-01-28_11-48-32.obj,6,70.54261532321027,3.9547738693467336,2,344.5194890268802,667.2648584119984,7719.633282899013,14804.592141654372,345.04267885648596,140.32575109164276,322.7453693851182,344.5194890268802,7084.958858755359,7719.633282899013
data\obj\cancan07_A 2026-01-28_11-48-32.obj,7,79.32682917540166,4.4472361809045236,2,312.3840966066994,610.5089296075691,6508.239938226965,12691.566044600273,338.0908453430508,123.59623173553966,298.1248330008698,312.3840966066994,6183.326106373308,6508.239938226965
data\obj\cancan07_A 2026-01-28_11-48-32.obj,8,88.11104302759301,4.939698492462312,2,291.50313122319085,574.9519345979661,5681.803744746605,11325.13131209623,334.045930669267,112.59153026014731,283.4488033747752,291.50313122319085,5643.327567349625,5681.803744746605
data\obj\cancan07_A 2026-01-28_11-48-32.obj,9,96.8952568797844,5.432160804020102,2,277.160915694471,548.7273683565395,5266.049068787819,10397.473645813807,330.7664152259922,106.87755275031458,271.5664526620685,277.160915694471,5266.049068787819,5131.424577025988
data\obj\cancan07_A 2026-01-28_11-48-32.obj,10,105.67947073197575,5.924623115577891,2,267.4466149445589,529.9880745560876,4932.080086885617,9696.064749706056,328.2725772115766,104.16122613700449,262.54145961152864,267.4466149445589,4932.080086885617,4763.98466282044
data\obj\cancan07_A 2026-01-28_11-48-32.obj,11,114.46368458416714,6.41708542713568,2,259.39623456062367,513.7863149284201,4677.375470370578,9211.973841105166,326.3414097758526,100.88430090515578,254.3900803677964,259.39623456062367,4677.375470370578,4534.598370734588
data\obj\cancan07_A 2026-01-28_11-48-32.obj,12,123.2478984363585,6.909547738693469,2,255.11510388374194,502.02863811676673,4480.299283522705,8923.463160211177,327.91519632851816,97.60737567330708,246.91353423302482,255.11510388374194,4443.163876688472,4480.299283522705
data\obj\cancan07_A 2026-01-28_11-48-32.obj,13,132.03211228854985,7.402010050251256,2,252.6280210710775,497.2431952019343,4493.974711698029,8914.121192530685,328.9549000959247,95.23689145478976,244.6151741308568,252.6280210710775,4420.146480832656,4493.974711698029
data\obj\cancan07_A 2026-01-28_11-48-32.obj,14,140.81632614074124,7.894472361809046,2,250.97882301895686,495.6370295492659,4494.1260218296375,8930.867463330593,329.5134233058259,94.62352730473111,244.65820653030903,250.97882301895686,4436.741441500955,4494.1260218296375
data\obj\cancan07_A 2026-01-28_11-48-32.obj,15,149.60053999293262,8.386934673366836,2,250.4423271978365,497.4826615168965,4521.878334506968,9037.211687503135,330.60932061627216,95.99547624115091,247.04033431905998,250.4423271978365,4521.878334506968,4515.333352996167
data\obj\cancan07_A 2026-01-28_11-48-32.obj,16,158.38475384512398,8.879396984924625,2,251.7860294669019,503.04604246681913,4686.1714032827,9314.906098143896,333.906183785345,97.2227625962544,251.26001299991722,251.7860294669019,4686.1714032827,4628.734694861196
data\obj\cancan07_A 2026-01-28_11-48-32.obj,17,167.16896769731534,9.371859296482414,2,255.3385314407197,510.4937629814043,4868.3337411014945,9703.031649427183,338.3297470327443,97.51600117526255,255.3385314407197,255.1552315406846,4868.3337411014945,4834.697908325688
data\obj\cancan07_A 2026-01-28_11-48-32.obj,18,175.95318154950672,9.864321608040203,2,260.5492051182343,519.7121176143935,5120.564323663581,10191.545503984482,341.4135275272423,98.82755712630832,260.5492051182343,259.16291249615915,5120.564323663581,5070.981180320901
data\obj\cancan07_A 2026-01-28_11-48-32.obj,19,184.73739540169808,10.356783919597992,2,267.63989292519454,531.4273765671616,5434.511759935645,10736.917592309052,345.8908883754259,101.87420028180048,267.63989292519454,263.787483641967,5434.511759935645,5302.405832373406
data\obj\cancan07_A 2026-01-28_11-48-32.obj,20,193.52160925388947,10.849246231155782,2,274.4298163020455,543.7606708283593,5697.961779201185,11258.677806757172,349.0385791940985,104.79825447396472,274.4298163020455,269.3308545263138,5697.961779201185,5560.716027555987
data\obj\cancan07_A 2026-01-28_11-48-32.obj,21,202.30582310608082,11.341708542713569,2,279.93893055739,555.0680969708751,5920.9578227623715,11770.170053709458,349.2740211393506,106.8326355741231,279.93893055739,275.12916641348517,5920.9578227623715,5849.212230947087
data\obj\cancan07_A 2026-01-28_11-48-32.obj,22,211.0900369582722,11.83417085427136,2,287.22143671221306,569.9086917520563,6204.99863537302,12389.708788363481,350.69722782320474,108.86647972962166,287.22143671221306,282.6872550398432,6204.99863537302,6184.710152990461
data\obj\cancan07_A 2026-01-28_11-48-32.obj,23,219.87425081046356,12.326633165829147,2,296.0614937367444,586.9309835075121,6565.814016902383,13097.834519127151,352.6039986752728,110.68011851444881,296.0614937367444,290.86948977076764,6532.020502224768,6565.814016902383
data\obj\cancan07_A 2026-01-28_11-48-32.obj,24,228.65846466265492,12.819095477386936,2,302.72099869066284,600.9729647671132,6912.953688046575,13773.415745381237,354.2318065810451,112.27842015218576,302.72099869066284,298.2519660764504,6860.462057334662,6912.953688046575
data\obj\cancan07_A 2026-01-28_11-48-32.obj,25,237.4426785148463,13.311557788944725,2,310.6817871201864,615.523885372467,7331.999381114714,14570.23682125927,355.7520017805739,114.86108691915213,310.6817871201864,304.8420982522806,7331.999381114714,7238.237440144556
data\obj\cancan07_A 2026-01-28_11-48-32.obj,26,246.22689236703766,13.804020100502514,2,320.3515669071279,632.9996654436918,7772.385903486531,15381.000160364521,358.01086139094724,118.46031038343773,320.3515669071279,312.64809853656385,7772.385903486531,7608.614256877991
data\obj\cancan07_A 2026-01-28_11-48-32.obj,27,255.01110621922905,14.296482412060303,2,330.3459249610184,651.065840633696,8253.14534825219,16259.06736148952,359.26773310205635,121.64319477361552,330.3459249610184,320.7199156726776,8253.14534825219,8005.92201323733
data\obj\cancan07_A 2026-01-28_11-48-32.obj,28,263.7953200714204,14.788944723618092,2,339.32178233307656,668.6733317398676,8713.090137861793,17193.452685236603,361.20086678764176,124.96835033362245,339.32178233307656,329.3515494067911,8713.090137861793,8480.36254737481
data\obj\cancan07_A 2026-01-28_11-48-32.obj,29,272.5795339236118,15.281407035175882,2,348.10298329078535,686.0849405373842,9199.882712273757,18161.787580484248,364.03479001182495,128.37830808247202,348.10298329078535,337.9819572465988,9199.882712273757,8961.904868210491
data\obj\cancan07_A 2026-01-28_11-48-32.obj,30,281.3637477758032,15.773869346733672,2,357.1684794558298,705.1822089939452,9707.088099578032,19201.49280259869,366.026089579212,131.40394574366752,357.1684794558298,348.0137295381154,9707.088099578032,9494.404703020657
data\obj\cancan07_A 2026-01-28_11-48-32.obj,31,290.1479616279945,16.26633165829146,2,368.26259359049897,728.7019942007884,10334.789499337574,20533.132985600772,368.69741360218796,136.1691911333807,368.26259359049897,360.4394006102894,10334.789499337574,10198.343486263198
data\obj\cancan07_A 2026-01-28_11-48-32.obj,32,298.9321754801859,16.75879396984925,2,378.9276504782025,751.7103219548856,10952.289618597926,21823.927727723647,371.23246988985215,140.9344365230939,378.9276504782025,372.78267147668305,10952.289618597926,10871.63810912572
data\obj\cancan07_A 2026-01-28_11-48-32.obj,33,307.7163893323773,17.25125628140704,2,388.28724853073675,771.9794114099961,11527.804920054507,23032.81750925968,374.08555546349965,144.2605391474616,388.28724853073675,383.6921628792594,11527.804920054507,11505.012589205173
data\obj\cancan07_A 2026-01-28_11-48-32.obj,34,316.5006031845686,17.743718592964825,2,397.2449171590158,790.6274139097109,12087.283779368838,24166.750633005475,377.34574622312323,147.22842591738927,397.2449171590158,393.38249675069505,12087.283779368838,12079.466853636637
data\obj\cancan07_A 2026-01-28_11-48-32.obj,35,325.28481703676,18.236180904522616,2,405.5709375068175,806.4440052719865,12587.504076300123,25140.28704175866,379.2227175142673,150.19631268731698,405.5709375068175,400.87306776516897,12587.504076300123,12552.782965458537
data\obj\cancan07_A 2026-01-28_11-48-32.obj,36,334.0690308889514,18.728643216080407,2,411.10128024911813,817.8054847316612,12966.717288221495,25882.458247348128,380.5571930241124,153.14084240856278,411.10128024911813,406.7042044825431,12915.740959126633,12966.717288221495
data\obj\cancan07_A 2026-01-28_11-48-32.obj,37,342.85324474114276,19.221105527638198,2,414.6615923762109,826.154823630302,13304.7395516197,26485.890613884752,380.66009687995756,155.47892018286154,414.6615923762109,411.49323125409114,13181.151062265053,13304.7395516197
data\obj\cancan07_A 2026-01-28_11-48-32.obj,38,351.6374585933341,19.71356783919598,2,416.618390571676,831.3982541449673,13522.217021183154,26845.023794553428,378.75118325659264,156.86864671313202,416.618390571676,414.7798635732913,13322.806773370274,13522.217021183154
data\obj\cancan07_A 2026-01-28_11-48-32.obj,39,360.4216724455255,20.206030150753772,2,417.2347644213802,832.710688091943,13574.285078638495,26926.712183384698,376.0717592696165,157.31974435809744,417.2347644213802,415.4759236705628,13352.427104746203,13574.285078638495
data\obj\cancan07_A 2026-01-28_11-48-32.obj,40,369.20588629771686,20.698492462311563,2,416.393837380365,831.4071981074358,13527.525405815657,26839.80901012248,374.54199132839415,157.74145122415246,416.393837380365,415.0133607270708,13312.283604306824,13527.525405815657
data\obj\cancan07_A 2026-01-28_11-48-32.obj,41,377.9901001499082,21.190954773869347,2,414.63065165752874,828.0994390919288,13424.372504420695,26623.710108364146,371.6670895050865,158.14558967883366,414.63065165752874,413.4687874344001,13199.337603943452,13424.372504420695
data\obj\cancan07_A 2026-01-28_11-48-32.obj,42,386.7743140020996,21.683417085427138,2,411.85582651241003,823.1899624906309,13258.683839363308,26305.36406415554,368.79218768177884,159.46956547273518,411.85582651241003,411.33413597822084,13046.680224792231,13258.683839363308
data\obj\cancan07_A 2026-01-28_11-48-32.obj,43,395.55852785429096,22.17587939698493,2,407.65281816186734,815.2343271922362,13008.835402398152,25795.15045558964,366.52632132475185,159.32750677242365,407.5815090303688,407.65281816186734,12786.315053191487,13008.835402398152
data\obj\cancan07_A 2026-01-28_11-48-32.obj,44,404.34274170648234,22.66834170854272,2,402.8670044373615,805.5914850287045,12722.777035229301,25198.985870040626,364.3140479172269,158.84392955078863,402.724480591343,402.8670044373615,12476.208834811325,12722.777035229301
data\obj\cancan07_A 2026-01-28_11-48-32.obj,45,413.12695555867367,23.160804020100503,2,397.9305225994599,795.4458852739818,12438.929258365039,24602.483108810462,360.9959020717313,158.00130782429096,397.51536267452195,397.9305225994599,12163.553850445425,12438.929258365039
data\obj\cancan07_A 2026-01-28_11-48-32.obj,46,421.91116941086506,23.653266331658294,2,393.5742957955347,785.3373583500947,12169.913557399355,24012.209952695423,356.25469277722567,156.60761892881843,391.7630625545601,393.5742957955347,11842.296395296067,12169.913557399355
data\obj\cancan07_A 2026-01-28_11-48-32.obj,47,430.69538326305644,24.145728643216085,2,391.5391518957209,778.71074361105,11993.193675115028,23575.277876641077,352.39858587685194,156.02085755168127,387.17159171532916,391.5391518957209,11582.08420152605,11993.193675115028
data\obj\cancan07_A 2026-01-28_11-48-32.obj,48,439.47959711524777,24.63819095477387,2,392.83865493364476,777.3045271544473,11958.923781908576,23366.383052468736,348.44931739711296,156.22983764508626,384.46587222080257,392.83865493364476,11407.45927056016,11958.923781908576
data\obj\cancan07_A 2026-01-28_11-48-32.obj,49,448.26381096743916,25.13065326633166,2,389.3016836625925,770.9976390409897,11727.783535935348,22939.115299958838,344.43181859070415,155.6900157769029,381.6959553783972,389.3016836625925,11211.33176402349,11727.783535935348
data\obj\cancan07_A 2026-01-28_11-48-32.obj,50,457.04802481963054,25.62311557788945,2,389.0437865284587,769.0858012506549,11686.721976854504,22814.79787069428,341.9508042034379,154.60242408139857,380.04201472219614,389.0437865284587,11128.075893839778,11686.721976854504
data\obj\cancan07_A 2026-01-28_11-48-32.obj,51,465.8322386718219,26.11557788944724,2,393.86972935778863,775.6195955616025,11958.963831878253,23161.88821156296,340.5046717270684,154.3392112279094,381.7498662038139,393.86972935778863,11202.924379684708,11958.963831878253
