SubjectID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
03ADL0002,-17.874252145542016,16.138951066573227,11.110623089111675,114.3553423409491,23.692922322551905,13.842320866929555,43.941407752924974,18.73125906398414,-32.24463565832928,-6.017353139434606,-17.00611829998651,-4.824160836244351,-3.694807758468825,7.999594910101937e-13
03ADL0003,42.56371004089682,14.651294586349747,-25.69042485054256,-8.515066516881797,-12.013028565713556,-11.089063349261743,69.9518566950557,-39.182191270598025,21.936792392090958,-2.6645114374683523,32.51078292453408,-23.620269155469295,7.565800051345657,6.409803243734302e-14
03ADL0004,63.186136088296834,27.308195408083428,-20.363900347262316,1.2410089915917397,-25.549417407366906,-46.88674685901374,-11.53879975352582,62.16661200593333,-13.775055342248356,-5.149470175495282,36.14092058891403,11.392382370275612,9.196682267105945,-2.761684110563767e-13
03ADL0005,-146.6825422139726,-84.09416812282713,56.087154679973416,-36.14833121174696,-8.751194078752269,-6.331538892092055,-11.766235418569167,12.153668491700328,-18.633839638034615,-27.457334636957313,-2.496781881889137,-29.766510672057972,12.316452854583535,-8.424511088733766e-14
03ADL0009,-132.29996603494678,136.04198086542704,-24.619650576558914,-33.98956211066583,6.706065658872503,47.194899889173804,-16.72637819182124,-10.141769685569212,-24.02037950895173,-0.5567412688729954,14.121285688748264,3.659598379329066,-4.525674823684396,2.456437830922198e-13
03ADL0010,102.98736723707246,-16.515915787744827,-53.25693599327171,8.629297014714737,-3.6821845932857347,54.826709469988714,-27.197013969802782,0.5223399819149114,12.27763694763148,-2.6691824461088234,-15.161998384037275,-1.3720939462393713,40.39843273662708,-3.337954912474572e-14
03ADL0011,-52.962815565322416,6.199589628913532,-47.304892636388054,14.086121565502713,90.80323079515063,-53.060593548225675,-27.46637931633335,-15.818981785402203,30.02722413875538,-15.423758414779918,-5.304331511190878,6.475420236234747,1.2443315358340101,2.681481339056324e-13
03ADL0013,67.49939167906126,41.13093524002484,43.03652759268065,43.2206028748401,-67.04488463979666,-28.68240062386182,-50.54769823540905,-42.022924956328204,-0.2348557944801002,-14.728123050119246,-8.931478967901361,-4.857045095082605,-10.454204811852964,-1.0436443376171667e-13
03ADL0015,-59.48045008128255,-54.504300470530936,53.639703264168816,41.078490010746904,8.04163490763901,23.747404678313753,-27.84252485217851,0.86433740356464,27.601923887922773,48.433010470414665,28.342846926063814,0.10696509832465695,-4.938399513063675,2.015436428859374e-13
03ADL0016,33.14923202008269,-84.33864023925555,-41.468464124775835,-10.096411889148337,-9.591519318832253,44.11192203005126,4.610901958201109,2.2070577326884484,10.072801810250366,-34.09487377694348,10.681179559603807,20.582001787218815,-31.77122465735753,-4.6629367034256575e-14
03ADL0017,30.691101579710935,-45.67451815093645,-94.82581967676607,-30.513392507625202,-6.057476347363519,-22.408746962677707,-6.661024649580049,-6.583314291461403,-40.0794656528463,37.79237570924844,-18.014982680631967,-14.724579738892603,-14.878238864444716,-1.0289165353061236e-13
03ADL0019,-24.646568014888988,52.62701818157857,9.062052489387662,-28.298046285805317,-28.76806714599289,-1.605711038992951,20.81130753869284,40.432561730086476,54.91172519922951,8.19131962983456,-35.717441361266324,-8.69575384969773,-11.828922383305168,1.3943620563727777e-13
03ADL0025,168.5026668120034,18.256206390679825,104.3328810149109,-53.94214907429908,59.81852708995497,8.45430211102433,5.2743205197410985,-0.4273427090485462,-18.078466514458263,3.3143077597598403,-4.1615126771912285,0.4013295250943936,-5.664255636098359,-7.924008671444938e-13
03ADL0026,-74.63301140116918,-27.226628596335456,30.261146075332352,-21.107903202172782,-27.60460867706519,-22.112757771355767,35.15625992260432,-22.901311711464686,-9.76140626653188,11.030334776922514,-15.002369923769304,45.242715897206594,17.03402900277934,-2.756874589726621e-13
