,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145
01ADL0001,-376.732403931026,-38.06725531605903,-50.223119752226715,19.587099663913634,8.664579895465293,29.028759761470692,-22.35823391631189,4.974809255563178,3.0183466316002385,-2.4665043248717313,-8.036819625486253,-1.133510182843068,-2.782734634351271,10.937196168241076,-4.606325920569637,-0.599553350647486,4.663192201119585,7.675571265669865,1.0636283538397495,-5.682283968251331,4.039307538672546,-5.592964011509732,-1.7354890783563084,-3.7511907979866845,-4.724671846746501,-2.3165264654480007,3.786075549454766,-0.35069248787323587,-5.084483077412271,-0.6273348797591878,-3.4999557473798206,-3.740325499298159,0.09633928369782363,0.8543214588345313,1.1899860117879217,-1.6176558522734967,5.40344784836597,5.5096603519308625,-1.587116717081798,3.188922713381976,1.6829482086657417,2.1338852594949462,3.015084304803233,2.636689126292932,6.065764474818372,-1.629089052950424,-1.104279317567949,-2.3482034679390837,-0.39421364822678456,6.99927395414008,-0.2089783331424052,3.595393249454831,-4.785501901720185,-0.4142163617463378,-0.314103264055075,-0.19524897146800121,-0.8176325845252496,0.1455714454014578,2.5116250281506676,0.3114572416066217,-1.3102929153343588,1.970576069484541,-4.158637657041906,1.6716734635421935,-4.296456638267469,0.4733159395300171,-3.5968216444677967,2.9432942420173966,3.504676343473388,-0.9231449978757135,1.4686343848674825,-0.9098221436069841,3.902006920235413,0.08973839092361989,0.38101743895956974,-0.19348382245759602,3.7301398597455235,0.43082519026726934,0.9049338866285521,-4.375502978993609,4.18304357859,0.10140087658370824,-2.306455649243117,3.0586725065694593,1.6781054198251022,-0.12069623604521136,1.1989310702085452,-0.6391991757403527,-0.7240575497327115,-0.9646381170689445,-0.2586312768305214,-2.049277176372767,3.223678049299247,-2.699800720354363,1.9254909258895527,0.7973051103302647,-0.45539176475210696,-1.6722475626948672,0.09017961106230939,-0.5939798506135753,2.1745026148098043,1.1555954608994836,-0.7055948659541638,-0.45630038114074206,-1.5635702613306994,-0.8536009175129801,0.8665470298332139,-0.7167391438841447,-0.4172887476380983,-0.573822692487053,-0.4253386175916591,2.694173320357388,-2.212772083725693,0.7602756389308599,-1.038629211900816,-0.782810089963989,1.0501659958572849,0.6555327568788568,-2.0868979867481934,-1.8389199619258392,-0.7766430506183618,0.5595185014102524,-0.4402452890836665,0.5569635873562744,-1.8792556052891571,-0.6570735898016822,1.4357568592957868,0.5355768899719611,0.34760247984699494,1.4947589282818727,0.6611642243845052,0.6025658959714887,0.993814293735206,-0.1257038897177887,-0.850804926917672,0.8978115284925475,2.0091755196706362,0.4929838197452618,-1.2036267570365649,-1.0806228191249774,-0.10771684237499385,0.31911075003738876,1.082211496448017,0.07465530628811819,1.7889458430696203e-13
01ADL0004,-357.53876657884337,-95.99511386215978,9.309873453372148,28.911388556805626,-0.7306528099606691,6.8738117502944345,-0.7646825534039684,-20.31860393829119,-28.2391871318001,-0.16044444949059877,-0.35405977523154175,-21.784195902559308,2.1105964028930333,9.229319159804366,-1.8518241969286566,-0.9270242670604268,-7.718879028435453,1.224673727706665,8.097022854968792,0.547391467663235,9.96125210317424,-8.201643108000342,-1.205088078219128,1.5436242501621489,5.862253208714765,-4.17068639878835,-11.963787105138318,8.445429590623343,-9.48878927439458,-5.3496848345102865,-0.03230555520132774,4.26228139475317,3.8401011619543377,0.6084963772860184,4.133598433802946,6.813229285447356,0.38631441849426157,1.3028786940191401,0.8567172836274758,3.8817129013687275,1.0988502372839255,0.37067225975772644,-2.2397565165383297,2.605706014790499,0.3547102158066868,-0.2939894509874941,-0.7482484007917037,2.072967745574182,-0.1350911575955657,-3.6833023492657517,1.271292600922033,6.687132128670444,-2.7132439697908315,-0.18138452830166807,1.4604333160438352,4.549183515909357,-0.06534184395302063,0.7564996803624777,2.798063005561812,-1.5953917126592345,4.362593126476758,1.0751313605985855,-2.4577566341202934,-0.20725382032286244,-2.5868145238670537,-0.7550437333004135,-0.6300601747602952,2.1597066224666173,-0.11336541981757702,-1.518430757889246,-1.0657477495368628,0.1024673794380521,2.5900081545757425,-0.30717999956301006,0.8808572074919261,-1.8352682325100984,-0.5411506981503756,0.026581370738264533,-0.5735788696413012,-0.5907005412548759,-0.4983673872089443,2.0617423344320622,0.6896565872988727,3.129158869564932,-0.7718252779517975,0.5218829350682588,-3.400458896681391,2.4795895634538954,-2.493080528811536,1.9745052928937483,-3.054302749487964,3.3360702788049283,-1.9262044394980369,0.8879403239638746,-1.954290044295436,0.29899476132588815,1.2148300751304981,0.77724752819141,1.2575150524334815,1.9273936808961545,0.17403844204140603,2.223542193719591,-0.2329928982884681,-0.5989546271840721,-0.7306644492745757,2.099953880029649,-1.498499114723172,-0.6544526929517385,0.1787327824273,-0.4866566938041108,0.45846232625971456,-1.3600589443182958,-1.4351942708168097,-0.3625651174171602,0.13572626625859618,0.9507694313446581,-1.7654060342309104,1.7979821827613627,0.3313510244885312,1.4874911563335542,3.210854202991605,-1.2872415148484546,-1.1567365141941333,0.43484284654446986,-1.073804495549493,-0.6116941453378043,0.515102143036234,-1.0801172202407172,-1.3910121558403576,-1.9694331199731792,0.49297835691805814,-0.5818042273450504,-0.8299778542544348,1.3555675173406951,0.13222102706403585,0.5269458236061614,0.6185349256634252,-0.6730635199534981,0.79168565189592,-0.22113316708652114,-1.7323808936128746,0.08972326223232775,0.3290789052299677,0.7518020935336821,1.7889458430696652e-13
01ADL0006,-372.52928074712975,-107.14840344056874,-53.0217865905143,-29.9862503974971,16.87918671755173,35.47377457636362,-7.605912241715897,-7.972064432407194,16.44809879946461,-43.357945198609556,-13.402974506761115,-3.1623967325042606,-10.079358141355652,-2.423179389380954,10.063307756060668,-5.544782724427102,2.820096841628411,10.571689331466532,0.6546523155760194,14.366089784560856,0.5637262895119785,-0.825048983017807,-12.514090029761338,4.098329519702223,-3.209956091545415,2.335639310559366,2.2421733956313283,1.622510811696512,1.960993836227714,5.547882757308402,-1.2430237593979951,-3.594258909702289,1.4198882015116263,-4.397152074058928,-2.1423676235766864,6.93314433342823,-1.9721672837391218,-6.263433760063029,1.7600173845263751,-1.1451766535512786,3.799772496250427,-1.5998385610044457,1.9812489581601114,-3.600132563483829,0.358996758728757,-3.017920607230062,5.160315981604874,1.3027886114586678,-0.4479203273413561,-1.239409762041474,-3.5597265212035825,0.6489969219373516,0.17953535518708355,0.570321050942874,0.3616249413018194,-1.7487680029041153,-0.7278036859705826,-1.9373465793128288,0.8880550165289438,-1.5503012766434847,-3.648697573638923,0.014038741551523924,2.300613741643795,0.9883294039894805,1.3649073469161577,-1.0735597399877588,0.7338063757137904,1.8854384012062715,-1.5569264732429038,1.6937878759056488,-0.9625149687978304,-1.1473637938526942,0.19971470737404137,-2.5536529513383037,3.4511809491581555,0.4222953629491172,0.13575082872702435,1.7548569782308723,-1.3987389285130327,-3.920176022930823,0.07375388501377679,1.1641971830858526,2.3719985111528623,0.968649908423014,-1.3567596993197795,3.155346250464514,1.7201747001883412,-0.7153752761546576,-0.14258242429758006,-1.189933261639587,-3.1690561987753236,1.1902338987605285,0.10046915791488582,3.1205138473991796,2.3692274416866663,0.7274823044410672,-3.503407518275576,2.0872652683056567,-1.9271944136416173,-0.5355909107640605,0.8140543895456034,-0.43199494450760906,0.09517103100027745,-0.08862817056662918,-1.0077319479479334,-0.6130675817816162,-1.5052554904151692,-2.6667121991701084,-1.690144515445959,0.4134904436806578,0.3380576124008268,1.2821991822465424,1.3532667831438936,0.8770964558965544,-2.4135756064162943,-0.8972627624854265,0.15936493884273917,1.0973261914193102,2.626246906704769,0.3865161668647094,-1.0876851486734125,0.12434966578514815,2.4980252759997943,-0.33892540353892914,-0.8234955155987755,-0.25361358639515574,-1.8795494113007711,0.03754192265239009,-0.8570845721974149,-1.1408634046149297,-0.19331590023722767,0.11207864807853725,1.747612915045567,1.2303256982337363,-0.5586041434825266,1.6874889455891,-0.44373349036934584,-0.40327209322768887,0.41126963724263804,-0.5293779097502881,-0.3914559892245273,-1.1815292209944306,-0.20941128460058253,0.3582244399986132,1.788945843069641e-13
01ADL0009,-391.96768416927915,-74.91529970928337,-60.96510249359062,23.316069995031096,76.87092935562424,5.405526906714036,-32.816962002256986,-18.52697773667105,23.13103357024794,-16.683120201341747,10.592636276967388,-20.010490252179224,-0.7411224759930901,-0.6214559203460548,-11.642151636119772,-1.9740480596048828,0.4495115416182592,1.2173990244225414,7.736441262453168,-13.707206396017858,-5.713525811673911,1.100539748714926,2.314294766208431,-2.8543034096139017,4.095839004960646,0.6951036408499632,-1.1757731413861123,0.7304101262650645,4.948559960035922,-3.0524232793781714,2.8368159375328585,-8.628761605508716,8.873811287703255,1.7406064368448286,2.307333219588819,1.3304331558650242,-2.1168561755844486,0.021219206857996258,-1.1994267653178972,0.139635629870235,-7.432450846681884,0.2532166230972758,-1.2487351027628995,2.644928183532062,-1.170384461857691,-0.20332107580262335,2.3314739216009706,-2.0744705765491553,-0.37405891075733316,1.3371696136998954,-1.1694419427514628,-2.235203663413814,1.5369855109892643,-3.336691628818506,-0.8082464937239988,0.6103944046022538,2.050353595476966,-0.22701098470212844,2.7235866780385107,1.3969446531029468,-3.9277063049862977,1.423670152988718,1.619793479375425,-1.1668506804913423,1.9062205037330948,-0.06891224280250195,-0.747614665541949,-1.7564982286635928,3.003667397381516,3.0032749026327594,-0.12706402084652196,3.166092877495366,1.1056101379391288,-0.9401806263575865,1.5744416637437992,1.2872404721985782,-0.8424115437311757,3.1247628466426502,-3.9296118348687603,1.5498439275085438,-1.6951808408608582,-1.1551712284600175,0.829997651975713,1.1071781120860842,-3.427699725589743,-2.710221286466325,-0.599850052820091,-2.224720002800938,-0.13695726417258777,-1.3477136007824435,1.6133966798606059,-0.5609907146189084,-3.002619074412548,0.9071815141014556,3.6730768827183944,1.795090210758243,0.06276226366144998,-0.9395111566652659,2.134594187004792,-0.9377912901220172,1.0822720747172785,2.0602018506605657,-0.9423684435083867,0.26997289350908277,-0.6417605490058794,-0.222938118621329,-1.205426176923065,-0.19638459108722314,-0.17854945321071278,2.005897605366708,-1.33893191034455,-1.2339484171206214,-0.2869745294202178,-1.9051019451528164,0.9590602998222942,-0.19711983303499883,1.1025683634529377,1.1475255783367706,-1.3239240610038572,-1.7975687829516216,-0.023511102908754477,-1.9395275520184467,-1.886716934986567,0.3592830274224362,0.3873754355096875,-0.176186171806119,-1.4055219339857656,-0.36309447092114167,-2.1210563225331995,1.1214880230214115,-0.8464592357231265,1.0529724848713884,-0.6088336544493744,0.20076358049202186,1.1019083056836658,-1.2738618485818378,0.8582736379554134,-0.2757205720746384,-0.39347655316658575,-0.15632398938227504,0.2714790646395078,-1.458536886038875,-0.9202030906925378,1.234581120697205,1.7889458430697566e-13
01ADL0013,-377.2959975050616,-31.801248897167188,-4.693009298366354,9.31785682960487,50.01624584033803,-30.56189346255001,-9.813422389557935,3.1422647171395917,20.298308783112436,9.01173199189797,-13.26202064909337,-1.8861318819308954,-7.229683444030744,16.01333668218199,-17.241887109561105,2.399744293378985,-13.081814752834342,-7.210925206148784,-13.962778947993689,5.53781074656442,1.0601669847308668,1.2640330937128375,10.10834662825586,-6.381283251117855,-8.421658808311618,-0.7746568884704919,1.302941167995568,3.702407475851786,-0.15918996469792693,-0.5177066736858711,4.840697346703985,-8.078994964434152,2.790480212366042,0.3608117910057304,-0.7223741013109037,-2.5777042742207827,4.398932827347913,1.9582887688387989,2.353385070591286,0.6854470815496547,2.040451210300825,-1.0162010520726465,-2.0535092764627425,3.367261200748171,0.42989490992477697,2.5410905069165195,0.12711654577608036,0.3255392110160705,-3.4104802097332416,2.861320303233316,-1.8576045772268728,0.572650423273748,2.0430914413686962,-1.326878422989528,-0.1829725073462868,1.4511378802031638,-4.206467646939632,0.835404315675952,-3.0235713134278477,2.957863275843625,0.1258885838358191,-0.24331201800604987,0.6924835799584191,-6.0223997974251215,1.3880175415706713,-1.4819729210121202,-3.4486935207803535,4.385183037007288,0.6182242975845643,-0.6312013471906452,-2.2678639364512656,-0.6392694320730037,1.1337627211499521,1.089771350627022,2.3128723552609505,-1.8423553604183152,1.7895249485283455,0.19342056988147688,-0.1684770563017996,0.46662356299416513,-2.851618153444374,-1.1740886926656247,-0.40777395254573934,0.36853742412007906,-1.2116995226195606,-1.4323648238720545,0.9093672122934088,3.9218045427229273,-1.317123887538484,0.8448595018067447,-0.0012460914794699908,1.0154487316557306,-0.36643427786658966,1.055172804584388,-0.3900351881194168,-0.05237956587973849,-0.14479205880876486,0.39108857973431854,0.5478755236147735,1.6982710021002174,-0.35515483510394225,-0.7501959064642733,-1.3929701364110414,-0.5390280692472877,0.38100893036114886,1.063928776546616,-0.7424206414317076,1.3765992606905182,-0.6080773456233175,0.3718161637366799,-0.5847875751052621,-0.33034796858535453,1.4479818323898812,1.3836732010843402,-1.3669451581817824,-0.1161259117455228,-1.1260370527900367,0.04211039370204848,0.3156511862178815,1.1807399198780022,-1.7738152563558716,0.9786753592792489,-0.842252906615693,1.0014715693103478,-0.6872628747764448,0.2239623916663996,-1.8867335572657424,0.29322883183243953,-0.32833756441618334,0.7722296374914659,1.9770474401094296,0.43521972875494064,0.7872217491354699,-1.472945224782087,-0.41855884433286983,1.7422904128097711,0.8844651724888003,-0.1440097110503388,1.8281482707516046,3.391582781856015,2.5957114598387347,0.6181847716665059,0.4516183610783016,-0.6702064075625906,1.7889458430697452e-13
01ADL0014,-355.47135879935433,-116.69203777145592,-53.55495781245945,-28.13683807719324,85.02533960838808,-11.744779100561408,-14.697320443024084,29.339879822547875,-18.20389974491887,-12.178883880829748,11.297796885129122,6.81600740620913,-15.790686325418902,-12.249860811032464,5.602356361970987,-1.4251111198790858,-3.7977409243872384,-12.665084442700094,9.664195898026822,-7.547949282418975,9.818096519479823,-3.926136045636511,9.737137068273176,-7.131970192563371,5.289268673218687,2.448410842377457,-7.555970736739629,-0.09812891591425763,10.524188645745083,3.328576896569772,2.4683895840191608,-1.3336144377965635,-3.772726320491064,-1.885222361972984,-1.696239567102859,4.631665679529434,0.15271093385473866,3.5534844704053064,1.3230453346699584,-1.9510274391400602,6.460396617643473,-2.1739356257798885,-6.741371170217039,-3.4645988843814504,0.9655649233964377,0.4036369676469353,0.9063258099029424,1.9060098740986386,-0.8083042942785911,4.032159439800789,1.1112596544895872,-3.0358588204008283,-2.5670920862865385,1.9463075259037217,-4.1677618675731765,-0.9122763879391685,-0.3960400827938157,0.6286199333721603,-1.1541830269367657,-0.46180897179876806,-0.5852302376207976,-0.7355287934282295,-2.0484780760221284,-0.10730025437054883,-3.4875127255237044,-0.43192548456082375,1.8311720056638907,-1.6967170714081832,4.061937874311574,0.6476817102812035,0.9134793870079102,-1.117729510993196,-0.4469620928442587,-0.12051310278670022,-0.15060583487867343,0.08245046274142419,-0.251623405361676,4.999493593585642,0.4589500636347755,0.579725230082366,-0.42895574067518666,-1.5638317992782,0.7559556138286945,0.9456195778198331,1.1856887894660302,-1.312815424892021,-1.6075615054879446,0.7973095408656629,3.0500843628037977,-0.31164889401940526,-0.62979583559178,-0.8541237120188347,-0.3841622385339968,-0.828742468709266,-2.7668000624983895,-2.864813226336959,-1.7667768718259715,-0.5820582929667983,1.2417679286080212,-1.3509892893859445,-0.24157042347290733,-0.33741586013584024,0.4525965201528071,0.5676152775170064,-0.16436888707671138,-0.4715127620225145,-1.2238619580509238,1.4655327033496426,1.2380546063188058,-0.3320965427211672,2.3222391396578246,1.1727140749812406,0.14325708204358872,-0.15130157062101052,1.5856265436926165,-0.7685286972914032,-1.2557927780318994,-0.4927313058127969,0.06411884061373498,-1.2164610166724363,0.6928853333288705,-1.0802527766820693,1.1946978974195288,-1.666522785435568,-0.62360072869287,-1.4314331461323493,1.6162954169520598,-0.48396713681396325,-0.3554372198678316,-0.5397708925484027,-0.6641304511006852,0.3445559219227996,1.6605965047527447,-0.21578251372161417,-0.6465055869349909,1.179580823099247,-1.659276707216968,-1.063338509758781,1.5682218272685982,-0.723896418097441,1.5920751589133595,1.656059060180333,-0.5108821457066597,1.3303749998569554,1.7889458430697374e-13
01ADL0016,-350.6413288507267,-69.77901112331435,-19.221095877167887,8.275841877094765,21.94041525733827,13.518847917508864,-29.566318581065154,11.14254759954541,1.6521353422076825,-7.298940458318611,3.59620938013241,-0.4397356355629629,9.476851349025425,3.4607635969523436,0.1975426672961741,3.8459308214343313,-3.75850650212016,1.1798726042622498,4.439299255549793,5.35177374619063,8.545320951736683,-9.6647225414875,-3.5590856234708603,2.509599459746924,3.8897690005429397,6.174496661913718,-4.815669259377277,-3.3729219452397547,-0.13223910369563563,-2.3592952923384933,1.477431288043691,-0.938809041547731,-4.3808932337143025,-4.260947269865845,-3.8701611215173157,0.7057000610336948,-5.0298906204840135,-4.232071780292589,3.180626261601796,-1.5842371507025848,-5.5638168151124345,2.3513202483662936,1.8640578930945766,3.0202694312407,-3.409967637931834,-1.5873394044058382,1.8658686597737275,-1.8511294932254319,-2.382893754099242,-2.714393925934011,2.7411012093574434,-0.2666102092168807,-2.2676080371568315,2.337948752127119,0.25415916510357356,-4.1822853695536235,-3.309675717535719,2.112589676855926,-2.2406853190206113,0.17169612273405624,0.1453060414842427,1.8534192061649117,-2.7037080165522993,2.331760518278432,3.674053065757156,-0.8914620874125222,4.638475311703669,-0.24771735775804915,5.307637818272406,-2.188650222824025,1.1692936878047775,0.5104251670779482,-1.6030272433723713,1.0316623654624881,-1.6951311986061794,1.7506971695128954,-1.1176433714977907,0.48372074278837146,-1.6476744660002602,-0.15407013505348455,1.173211623974933,1.3359597587236347,0.4159219084480223,-2.4040810356012807,2.1494263906439635,-1.5638059940487479,-1.161748792374586,-1.3209401754601187,-1.5566982049410663,0.2984865559411884,4.809537887586181,-1.312994962048974,2.3489218859495558,-0.10134835504042897,-1.8570723709139112,2.8358841378274398,-1.1804794598322363,-1.6805774539685445,1.7744345861593018,0.46320100761515465,0.5233185212198402,1.3825703332017316,-1.0933753524766412,-0.5296896521042713,1.678899928371498,-0.13856194509071135,1.1571764086081837,-1.4352488641258134,1.3325793710961078,-1.079799795652684,-0.4294450752197329,-1.1409075116226897,0.983159318994749,2.5200819520584603,-1.1537009480882452,0.403356790746107,-2.446623306652513,-2.5645987956309173,-0.3657748133252338,0.22618734509532906,0.45626409756319447,1.5742280373129884,1.4935384348980962,0.9781080699999993,-0.8854026254515638,-2.0243898120595607,-0.7504329332846758,-1.898825995979742,-0.8215017714684371,0.6269501179016125,1.2137609240326603,-0.5812813310652072,-0.589322843195784,0.8371873354132658,-0.017599377589789012,0.8500302415643173,1.3977695964988646,-0.40614696777707,0.8479472728153078,0.3973262107461402,-0.29476990251838375,-1.666031655585879,-0.5460303879501666,-1.116743597755626,1.7889458430696117e-13
01ADL0021,-345.47475255974933,42.26183469696014,-0.7353483071352648,21.913953363297757,37.579153551291185,-4.510130129826199,-37.051784882104954,25.99759289997503,3.0658897466461106,1.3352379229997875,11.717911036735767,5.057573357256962,-1.2321106258186987,2.4253359950309368,3.0503521794156763,10.852055125931708,0.7288107281629013,2.3453896798021914,5.823740204989051,2.322327525877997,2.1707962686582394,-4.997797699375826,-3.0949320046754827,-2.581276496374884,-0.9430599085049316,7.030724483246571,-3.352165792695395,3.059721724258872,-2.5075852587510497,5.82163852736373,-0.6724895792443294,1.4297464524983876,6.412961041218849,-1.9493409724015371,3.525795901548038,2.0568782664158456,1.9405750301527964,5.028588646298443,-2.624385677522801,-1.3318022544205332,-2.749088338598142,-2.03949326734442,-3.2381275904730393,2.476143276882538,-1.1218331097620544,-4.039314330850781,0.6424685732546727,0.6151081467748402,2.3061360918579883,2.7161053809493203,1.7133069318680556,4.523133011551595,1.2313997229698217,-0.4259952564344879,-0.07385632627585158,1.18863345919243,-3.26220845234394,1.969268020767581,0.20361720693186838,-1.295963365194148,2.9204283862290272,-3.9437682405565075,-2.250560344877383,-0.13002726717647667,2.3515062768084194,1.2632232240462271,-1.355595471955785,0.6893489019496346,0.5595391727223216,-0.6847348494390052,0.3459720785646128,-1.9265230529191133,1.0091968934703377,2.7558057988033817,-1.2937631341468223,-1.3872298932980605,1.5068037252005895,-0.9188397213335363,-2.1006914419705796,-1.4780236465926415,-2.3234114149902867,-0.8343461830198704,-1.0972504428044012,-0.6610103213747942,-0.7121437545893807,2.676215394959005,-1.1400874361988766,3.243298891481658,0.40270451791564515,2.6787099347201098,-0.8686477051484851,-0.23051920171308884,-0.429950861817766,1.731378746480555,-1.1529236753651522,-0.8703248129385699,-1.1452892185296564,0.35315085645611766,1.3340488329950877,-0.001372688665313389,0.16032830659451755,-0.3641855092567759,0.11836235210338232,-0.3505455350262947,-0.09834217706315058,-2.3441224190528165,0.984198514130178,-0.5903741274316289,0.8122794583165992,1.1043135314917674,0.6655207922193968,-1.530851066056291,2.296427612859258,0.2928347633246584,-0.4264757462391591,0.37788897024877205,2.0368739317876456,-0.9094565425830259,0.33936943009182735,-1.1114320168294236,-0.04126235725601818,1.84096277159081,1.1001240510616945,-0.7182718437123158,0.05054796091121694,-0.12357595329617488,-2.192255608787854,-0.31464788857610637,-0.49926138447093465,2.3832736790253377,0.005703691798646024,0.810420549514899,0.7375955889981209,0.3498756229643998,-0.09474703184941421,-2.1773717562222754,-1.6318000100707613,3.4287998989641046,-1.6637590520084076,-1.058321793166278,-1.6448463034130378,1.9198790183257841,-2.07814124935656,-0.39015576537217433,1.7889458430695334e-13
01ADL0026,-373.2080108854049,42.97814310022208,-24.263149130501848,5.455753306801634,-3.2553272723085995,23.80722791319693,1.3968029375640902,10.618556541297583,-40.49938184271481,-16.16220160384788,9.373320556813804,2.6508160320431635,20.88199970132515,20.777529358667323,19.83408186579418,-19.852877219437634,-0.026779084085512748,-9.172533661202586,1.6638383291123873,-0.9072583077010019,-5.446927593594273,-2.7273268860440423,1.932410117362498,10.454682918242339,-4.356059565834615,7.004457324399253,-0.03681727254705278,0.6400890229436537,1.3275187273524613,5.069294700186638,6.6343409238764,1.8406841074013975,6.993161012390307,-8.355062973563552,-4.915693414277067,5.059595333264505,1.3299573610177577,2.3825015996652628,1.2063722969604043,-7.406233065718709,-6.14806291809588,3.7369510086129734,-2.655950774468976,0.3255906584073301,-3.6819869008798904,2.9632776215663315,-3.3222008729617394,1.7991105285776658,-4.0460773785389454,-1.1140332106484392,0.6346072863901233,4.370531185511733,0.49811199824954516,4.761905589527283,2.4433549462159223,-0.8353418012065817,0.3987805592717174,0.9002899354882884,-6.149777954116494,0.3171245422148776,-3.3889201022307014,-3.4503419253897514,1.876126854956247,2.9985598543110346,-4.022188912493585,-0.48619660347715177,-0.11215121829877574,1.4393451497858862,-0.5190937691291484,2.386752378972817,-0.29461669584960387,0.6928851491397299,0.432490633154021,-0.2936886082851819,-2.8285097202067435,-1.6682532390163134,-2.0390991206387317,1.3633539301164368,-2.0363463916558566,-1.947503172115662,-0.1192191450963138,-0.8269481820035156,0.15428732553277782,-0.3104926355833856,-0.8400155105876187,3.0606371589798043,-2.194471401096031,-0.8240701464196203,1.415182097675998,1.8050339137811997,-2.1390379130684543,-1.973005231937515,0.8796352638350535,-2.475132895569784,0.6696191513962213,2.1279757116852043,-0.08798869573261202,0.19798521054224977,0.4555263151912636,-1.49012499703346,1.156825533866699,0.16267516111478408,2.528690489877293,3.7193765081448764,-1.1433653326035706,0.8855257181157877,-0.595730026124537,0.16232377177653526,-0.2461101583761629,1.1713300994434082,-2.0753156771277896,0.7756545802432626,-1.3622149750521924,-0.23825265934179873,1.2576980180377513,-0.7444861891602244,-0.5496940097716831,-0.37126759905766715,-0.7322374585376975,1.6501442587459698,0.4524527996920359,1.1539647272868254,-1.2372744608292348,1.2390064074264417,0.8210179409504508,1.6936482335911829,0.17499089656594718,0.8506359730024299,-0.4181361053808153,0.20796855305394346,0.23857375135423073,-0.5605799919892251,-0.02574706673563145,-1.1300487433163278,-0.07005849401562812,0.03868985349461512,0.2806570111982173,0.16460309498628264,0.3662262107280799,0.6446817826166599,0.5759768368149752,0.487686635591058,0.5595312544921587,-0.43958864277103754,1.788945843069639e-13
01ADL0027,-391.51100433048407,-67.1209941233896,-7.85462113020785,6.342986228219321,-37.09875529235726,39.63666311083646,-24.645046342041216,19.0795571050227,44.24046075723008,9.14651913358996,19.053427902390727,-10.063608438470952,2.899015939857345,23.92117034972292,-2.5673327052922175,15.720586809435739,0.3545359354431177,22.961885731021564,-6.81750436201484,3.6017585990786354,3.546707744775849,-11.875018249193934,3.26868013947754,-8.719500237208054,0.8349738926108978,-2.210619633781224,0.12946823114204645,4.487534334005231,-1.4282430292101769,4.264792456188509,1.3772089568961992,2.2514779194411934,4.065845277427062,-0.4480917729492392,-2.7884366817729997,-3.0196137905872216,-0.3266748361617223,-0.905359386851705,-3.6949477673995785,4.405991057810859,1.8011717957784972,0.6758973336017409,0.5223678680779885,-3.3587723152562683,1.9651821508042027,-3.9559932806104885,1.524588108300775,-3.767517375390504,-0.5154752018474521,0.5466734627133564,0.5659890791734632,-2.5600853299114736,2.60675791021099,4.673310161536466,0.6261697840433278,1.3597522725579652,0.3618723906954607,-0.6655979212625193,1.1734173391471268,-2.2158606774612353,0.7864939007759094,-0.6886688017472968,-1.0909180596312982,2.8492502271965505,-1.5413383211056495,4.367815555002562,-0.6733527296792057,-1.2742524652942833,-0.833354695841991,0.4247574131338157,-2.705556666627981,-0.890657848984324,0.42907806481179417,1.0865935278558476,2.105680700891423,1.5719174618682545,0.2922120440433973,-1.4130828701540052,3.1405461273540074,-0.08758430703482135,-0.6467216503824933,3.2048721353586442,1.6320630794662538,-1.310751201414508,1.5401107015763327,2.2187537499757353,1.1927936655780906,1.0606531042764713,1.3971425047325938,2.5468152037554144,1.7832489283098163,0.5320645606482372,0.36890932690487327,1.124202549955449,-2.835554184229461,1.2831396268000643,-0.08804113757604844,-2.1455760046151777,0.3695601920056538,-2.2920823903257097,-3.033774170950487,0.3917546104033829,-0.14944996162293678,1.6976646564655307,-1.2139540630523427,-1.5704662248839418,-0.732501101981945,0.7363054923362943,1.8312587691318385,4.128858223796787,-1.049626949933998,1.2549769297228262,-0.21272546735813105,0.07090533711694547,3.5315833970958947,1.2128314046258837,0.09689787731494795,0.23248508627593203,0.44825549206106946,0.4000332700677074,-1.4792730634170557,-0.9909304629410045,0.07574455646753155,-0.04109569778076276,0.9242437629751121,1.1198803598165654,-0.35755295416165944,-1.7660786396973043,-0.38310394907432305,-0.6275758610559073,-0.7492117901990613,0.3651757313466822,-0.9219338157331608,-0.09651978567637658,-0.5087524375679684,0.8268817115061037,0.7093585814851752,-1.0925839794700052,-0.8927274903570347,1.0801318055133067,0.9528564594730803,-0.5436918975211232,0.21972757500610793,0.6996533929175928,1.78894584306975e-13
