source_file,slice_index,z,height_percent,num_loops,max_perimeter,sum_perimeter,max_area,sum_area,width,depth
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,0,16.5048035726166,1.0000000000000002,2,679.5743184361152,1341.6132035129408,25761.877093331947,49677.30550438149,432.9278732639315,284.00217055000576
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,1,24.632797291794624,1.492462311557789,2,669.9349240290812,1296.6388212002137,25104.028130807383,45467.862070514806,426.8232180579014,277.8228812520791
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,2,32.760791010972646,1.9849246231155782,2,646.5121314420093,1217.221034861915,23090.06839053087,40197.597639116044,411.8283939241003,269.8176767222986
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,3,40.888784730150675,2.4773869346733672,2,590.8698239868577,1104.0989671666314,18965.44801475627,33053.04527289845,393.25019097313884,252.47054151981686
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,4,49.0167784493287,2.9698492462311563,2,517.1340447447512,982.2293617251871,15105.709197896527,26844.502942670042,373.68130130621415,217.13999424325962
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,5,57.14477216850672,3.462311557788945,2,460.5820469615591,872.315196607633,12159.705087233542,22243.980873415054,362.79461468213043,191.42388802502654
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,6,65.27276588768474,3.9547738693467345,2,410.1987316197465,782.2293677442733,9803.895201912235,19073.62570085418,354.3237769915339,164.7364883132841
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,7,73.40075960686276,4.4472361809045236,2,369.86530372311756,717.2756649682567,8485.776858236908,16567.4120865011,348.6558616921792,144.68532356738007
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,8,81.52875332604079,4.939698492462312,2,336.02016641985495,670.6691604704745,8074.632209760445,15231.564227282812,345.05767459939057,129.64475413282554
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,9,89.65674704521881,5.4321608040201,2,325.02692129112955,642.6907986037428,7765.385586585336,14281.52972805691,342.4051459010245,123.34667177328909
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,10,97.78474076439683,5.92462311557789,2,315.2657660457523,620.1557163359575,7385.597004645531,13543.345276751614,340.32742248848473,117.04858941375267
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,11,105.91273448357485,6.417085427135679,2,312.69624230025164,610.861703345551,7285.232882143635,13299.773494742629,339.3136776976484,114.37191485156441
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,12,114.04072820275289,6.909547738693468,2,313.38686492662146,610.9762545918481,7349.334638367566,13402.372881563751,338.3553375701888,113.84877833861161
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,13,122.16872192193091,7.402010050251258,2,314.2941962113241,613.5027256468054,7401.826127594212,13574.773531492578,337.90699225403824,113.43392315816726
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,14,130.29671564110893,7.894472361809046,2,315.3034986671394,614.5301582653947,7490.553741003694,13737.516582795108,340.0054660466677,112.7309892686019
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,15,138.42470936028695,8.386934673366836,2,314.76932325850845,613.714277312273,7520.986741522749,13781.560940072748,341.3496388403511,111.65248811127677
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,16,146.55270307946498,8.879396984924623,2,315.09588635960995,615.3459108297936,7555.862012389596,13969.899195624144,340.42928925601257,110.66164178396073
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,17,154.680696798643,9.371859296482413,2,319.7984003284623,622.3679796884287,7790.551537184159,14357.240608904987,340.0804889634427,111.18575366824128
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,18,162.80869051782102,9.864321608040202,2,324.4911298105036,627.1466458494374,8004.506118044163,14601.057933661146,342.96056653119683,111.38216814273119
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,19,170.93668423699904,10.356783919597989,2,324.1318871353911,622.9720869071532,7964.277406244094,14438.045754003317,344.70054233443193,110.19331345393526
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,20,179.06467795617706,10.84924623115578,2,321.5126410215935,618.5595893385439,7674.644258552335,14047.270982223858,343.68934405094853,109.11219544777303
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,21,187.1926716753551,11.341708542713569,2,316.8804748837904,616.0486339974018,7016.332061317897,13452.27447546102,342.7769811600056,108.71992882724123
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,22,195.3206653945331,11.834170854271356,2,321.43317395656527,622.8379983201812,7169.725143933598,13776.44172753837,344.1337731608836,109.27834547524466
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,23,203.44865911371113,12.326633165829147,2,327.5537181532725,629.4601791517516,7401.29329352385,14174.224235764554,345.0449510516172,109.8367621232481
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,24,211.57665283288918,12.819095477386938,2,325.72074301827263,628.8976532376065,7510.508552085241,14302.698931217234,345.17080168139967,109.99159268657746
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,25,219.7046465520672,13.311557788944727,2,324.6190423032299,624.6754254880491,7632.358061342779,14336.769397445221,344.7883833161908,110.06745582553617
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,26,227.83264027124522,13.804020100502514,2,325.35082148984594,628.258807983467,7801.695855026981,14482.070895157529,345.0467290295982,109.95560515982973
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,27,235.96063399042325,14.296482412060303,2,326.7797124251878,628.131036164043,8030.572905014691,14796.701451640554,345.99186628918073,110.7472222543849
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,28,244.08862770960127,14.788944723618092,2,329.8455476222394,634.1525140167989,8096.167302173777,14972.648286576332,346.1976386404743,111.57558098429632
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,29,252.2166214287793,15.281407035175882,2,331.1205471213773,633.7383865812922,7992.441435397028,14955.765525614352,344.3416432990941,111.429310873387
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,30,260.3446151479573,15.77386934673367,2,334.52305349804493,648.4739471970909,8215.151494592152,15563.777639760174,345.5772764649906,112.70082571093334
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,31,268.47260886713536,16.26633165829146,2,337.77008996820575,660.6754682925198,8469.89061988148,16264.484108641067,346.32906413378186,115.58184021967689
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,32,276.60060258631336,16.758793969849247,2,343.3091791710599,670.6485678040212,8690.294291916987,16777.49489396176,345.76503167574594,117.45117050599323
