,PC1,PC2,PC3,PC4
02ADL0134,336.42757656491875,-290.7000921602892,7.022242277516095,1.2583323145035802e-12
02ADL0134,312.2156739792504,301.67331679620776,-9.405103395161873,1.2583323145036012e-12
02ADL0136,-321.60693311980646,4.37372104569354,249.2413122426542,1.258332314503588e-12
02ADL0136,-327.03631742436284,-15.346945681616978,-246.85845112500786,1.2583323145035909e-12
