source_file,slice_index,z,height_percent,num_loops,max_perimeter,sum_perimeter,max_area,sum_area,width,depth,left_max_perimeter,right_max_perimeter,left_sum_area,right_sum_area
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,0,17.363544625753942,0.9999999999999999,2,678.5552117250709,1316.303336549941,25237.76762768555,48144.91035426427,532.2248229426197,284.39586027516395,637.74812482487,678.5552117250709,22907.14272657872,25237.76762768555
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,1,25.91443594898955,1.4924623115577886,2,645.9147759675861,1243.4339698969113,22863.458409384126,43089.664058589115,523.9372709696943,269.96154306544224,597.5191939293252,645.9147759675861,20226.20564920499,22863.458409384126
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,2,34.46532727222516,1.9849246231155775,2,582.2630560795167,1115.442994557589,19140.018679932928,35769.11370899332,506.1623054287862,244.3628625153641,533.1799384780721,582.2630560795167,16629.095029060394,19140.018679932928
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,3,43.01621859546077,2.4773869346733663,2,523.176329669339,1001.5204392024225,15938.408215614123,29671.354872642805,483.97736809759704,223.45518155592038,478.34410953308344,523.176329669339,13732.946657028682,15938.408215614123
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,4,51.567109918696374,2.9698492462311554,2,467.4824070195608,900.4709886044731,12930.412428288342,24443.856939067446,464.23827949465453,204.73140753416973,432.98858158491225,467.4824070195608,11513.444510779105,12930.412428288342
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,5,60.11800124193199,3.4623115577889445,2,416.72025607543713,808.3820982066254,10577.66703421317,20296.697178776314,448.09474088183106,185.37345270919178,391.6618421311882,416.72025607543713,9719.030144563145,10577.66703421317
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,6,68.6688925651676,3.954773869346733,2,369.79493747036804,724.0407264539947,8695.197506987402,17010.79736902086,435.2521474051634,165.39175694754948,354.2457889836267,369.79493747036804,8315.599862033458,8695.197506987402
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,7,77.2197838884032,4.447236180904522,2,331.1650877179961,658.4101294464367,7405.72790890457,14729.671196845964,427.4190370824463,150.43458210130234,327.2450417284407,331.1650877179961,7405.72790890457,7323.943287941394
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,8,85.77067521163882,4.939698492462311,2,306.33116656993025,608.7699572706641,6764.105754339078,13019.17222501454,418.72793508544044,139.19513036701437,306.33116656993025,302.4387907007339,6764.105754339078,6255.0664706754615
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,9,94.32156653487442,5.4321608040201,2,292.6268047860893,579.8182571773751,6264.298427504138,11983.14996739474,414.374923115911,132.85700866903258,292.6268047860893,287.19145239128585,6264.298427504138,5718.851539890602
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,10,102.87245785811004,5.92462311557789,2,280.74562344526333,557.2719947672704,5852.4329955674475,11266.922422770207,414.21036549482824,127.38800750743331,280.74562344526333,276.52637132200704,5852.4329955674475,5414.4894272027595
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,11,111.42334918134564,6.417085427135677,2,276.75814380523485,541.2952450666174,5715.7464346666675,10779.996063530954,410.7867893911247,124.56065413510447,276.75814380523485,264.5371012613826,5715.7464346666675,5064.249628864287
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,12,119.97424050458125,6.909547738693466,2,275.6284313544218,533.8247301978126,5652.543874501163,10499.612714403367,408.5410057608141,123.14503902349271,275.6284313544218,258.19629884339076,5652.543874501163,4847.068839902204
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,13,128.52513182781686,7.402010050251255,2,269.04295758800214,523.2947887590676,5316.413881997258,10073.781464580301,404.2836358422161,120.39186237497186,269.04295758800214,254.25183117106545,5316.413881997258,4757.367582583043
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,14,137.07602315105245,7.894472361809043,2,256.2297461207388,502.804119464142,4846.354308883805,9377.817701051914,402.2878865520993,116.39106657856266,256.2297461207388,246.5743733434032,4846.354308883805,4531.463392168109
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,15,145.62691447428807,8.386934673366833,2,255.27288614884682,491.9360802531963,4822.699623930035,9006.945786881173,401.49945793276447,114.41580522923569,255.27288614884682,236.66319410434946,4822.699623930035,4184.246162951138
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,16,154.1778057975237,8.879396984924622,2,260.228387627764,496.75183490384916,5087.865704401658,9193.638201690599,403.93180755030426,115.03306118829063,260.228387627764,236.52344727608514,5087.865704401658,4105.772497288941
data\obj\CanCan02_B 2025-11-13_11-50-16.obj,17,162.7286971207593,9.371859296482413,2,263.92300154054345,504.05162163299497,5311.708349264984,9589.647389651946,407.4547400647548,115.1083962172205,263.92300154054345,240.12862009245154,5311.708349264984,4277.939040386962
